Specie	Concentration
C00008	5.6E-4
C01251	0.001
C02612	0.001
C04272	0.001
C14463	0.002
C06006	0.001
C06010	0.002
C00671	0.002
C00149	0.0034
C04002	0.001
C16254	0.002
C04691	0.001
C02226	0.002
C00322	0.002
C00109	0.001
C00026	4.4E-4
C00631	0.001
C01179	0.001
C05381	0.001
C00944	0.002
C02637	0.001
C04181	0.002
C00141	0.001
C00197	0.0015
C00236	0.001
C03232	0.001
C00334	0.002
C01061	0.001
C01036	0.002
C01269	0.002
C00033	0.001
C00164	0.001
C00024	0.00122
C05535	0.001
C00984	0.001
C00446	0.001
C00267	0.01
C00668	0.001
C00014	0.002
C00020	2.8E-4
C00002	0.001077
C05378	0.03
C05345	0.002
C00169	0.001
C00251	0.002
C00417	3.2E-5
C00158	0.004
C00011	0.002
C00010	0.0028
C06032	0.001
C00279	0.001
C00124	0.001
C00103	0.002
C00118	0.002
C00013	0.002
C15973	0.002
C15972	0.002
C00122	2.4E-4
C00035	0.00136
C00111	3.7E-4
C00044	0.0049
C00080	0.001
C00001	0.001
C11482	0.001
C00544	0.002
C05662	0.002
C00027	0.001
C00530	0.002
C00104	4.8E-5
C00311	0.002
C00081	4.2E-4
C00956	0.001
C04076	0.001
C05560	0.001
C00041	0.0052
C00062	0.00114
C00049	0.0084
C00327	0.0014
C00025	0.192
C00407	0.002
C00047	8.2E-4
C00077	2.0E-5
C00065	6.8E-5
C00082	5.8E-5
C00183	0.004
C03406	0.002
C00449	0.002
C00003	0.0026
C00004	8.3E-5
C00006	4.2E-6
C00005	1.2E-4
C01005	0.002
C00009	0.002
C00036	0.001
C05379	0.001
C00139	0.001
C00007	0.002
C00074	3.6E-4
C00404	0.001
C00022	0.001
C15602	0.002
C00138	0.001
C00493	2.8E-5
C03175	0.002
C00042	5.7E-4
C00232	0.001
C00091	2.3E-4
C00068	7.6E-4
C00052	0.002
C00029	0.005
C00086	0.002
C00075	0.0083
C15603	0.001
C06007	0.002
C01352	0.001
C00016	0.001
APS	0.001
Cbl	0.002
GRF2	0.002
INS	0.002
CIP4_2	0.002
Exo70	0.002
TC10	0.002
